WB_Code,Year,Population,GDP,GDP_per_capita
TJK,2005,6924720.0,2312352020.6689,333.927150941684
TJK,2006,7057566.0,2830213848.6203,401.018403316427
TJK,2007,7194477.0,3719524540.86193,516.997210618914
TJK,2008,7338403.0,5161299725.27673,703.327375898643
TJK,2009,7490230.0,4979472364.4534,664.795655734657
TJK,2010,7652141.0,5642221099.17704,737.338883219356
TJK,2011,7824785.0,6522756255.012,833.601978202852
TJK,2012,8014084.0,7633036903.07634,952.452819695469
TJK,2013,8216724.0,8448411318.25417,1028.19704279396
TJK,2014,8425552.0,9112605459.32845,1081.54402932039
TJK,2015,8643840.0,8271431485.07484,956.916310930656
TJK,2016,8865631.0,6992416096.89018,788.710481734485
TJK,2017,9085946.0,7536402852.85802,829.45714764957
TJK,2018,9307333.0,7764999999.45362,834.288404578801
TJK,2019,9529966.0,8300813599.3084,871.022372934846
TJK,2020,9749310.0,8133963550.65742,834.311715460625
TJK,2021,9966908.0,8937805347.13963,896.748053372182
TJK,2022,10182222.0,10713525200.3998,1052.17949484894
TJK,2023,10389799.0,12244169292.7998,1178.47990060249
TJK,2024,10590927.0,14204575548.5536,1341.20229027672
TUN,1960,4267288.0,,
TUN,1961,4316278.0,866155428.571429,200.671835449762
TUN,1962,4369136.0,880027733.333333,201.419166932165
TUN,1963,4427131.0,1026737600.0,231.91940785127
TUN,1964,4489869.0,1025866792.15686,228.484793689273
TUN,1965,4561385.0,991047619.047619,217.269013478937
TUN,1966,4652287.0,1040952380.95238,223.750680246593
TUN,1967,4760970.0,1085714285.71429,228.044765187406
TUN,1968,4879899.0,1214666666.66667,248.91225549272
TUN,1969,5004697.0,1289904761.90476,257.738832521682
TUN,1970,5131396.0,1439238095.2381,280.476910228346
TUN,1971,5261658.0,1685162272.40652,320.272102901124
TUN,1972,5396557.0,2237556148.51085,414.626612581104
TUN,1973,5537242.0,2730813385.32624,493.172121667472
TUN,1974,5684674.0,3545868575.14639,623.75935280482
TUN,1975,5839262.0,4328965587.53266,741.35491566103
TUN,1976,5996994.0,4508191942.16081,751.741946408618
TUN,1977,6155931.0,5109324009.32401,829.983963323177
TUN,1978,6309390.0,5968460080.1113,945.964678061001
TUN,1979,6456419.0,7188863903.63675,1113.44445018775
TUN,1980,6606195.0,8744134354.16152,1323.62643763339
TUN,1981,6758284.0,8428445294.08429,1247.12801268551
TUN,1982,6908642.0,8133580051.70251,1177.30518554913
TUN,1983,7053800.0,8350582747.83541,1183.8417233031
TUN,1984,7220044.0,8254541194.82566,1143.2812867658
TUN,1985,7409903.0,8410226052.6114,1134.99813055736
TUN,1986,7600301.0,9017806654.4169,1186.50651525734
TUN,1987,7789987.0,9696715910.70907,1244.76663577347
TUN,1988,7974440.0,10096245762.4352,1266.07583258953
TUN,1989,8151660.0,10101851744.5627,1239.23860226784
TUN,1990,8324509.0,12290568181.8182,1476.43160477311
TUN,1991,8501827.0,13074782608.6957,1537.87916511306
TUN,1992,8682512.0,15496708060.4184,1784.81850188268
TUN,1993,8857910.0,14608335608.1543,1649.18537309075
TUN,1994,9018448.0,15633174304.0905,1733.46614673506
TUN,1995,9161258.0,18030876599.3444,1968.16600944373
TUN,1996,9294432.0,19587161806.7655,2107.40815649257
TUN,1997,9421270.0,20746210353.845,2202.06090620956
TUN,1998,9541667.0,21802893587.126,2285.01933541864
TUN,1999,9655963.0,22943202174.9668,2376.06566791596
TUN,2000,9764935.0,21473528160.7782,2199.04465936314
TUN,2001,9869677.0,22065832448.8623,2235.71981624751
TUN,2002,9971515.0,23141616604.5242,2320.7723805785
TUN,2003,10071632.0,27453902261.4629,2725.8643148859
TUN,2004,10166163.0,31183885241.4396,3067.41936376975
TUN,2005,10255472.0,32272186694.8043,3146.8260743927
TUN,2006,10346410.0,34376664600.5898,3322.56933570096
TUN,2007,10441702.0,38915353866.757,3726.91672935667
TUN,2008,10542635.0,44859439902.2191,4255.05008019523
TUN,2009,10650681.0,43455740497.3061,4080.09032448781
TUN,2010,10765980.0,46206091937.9628,4291.86120891575
TUN,2011,10886035.0,48123325825.0739,4420.64772206537
TUN,2012,11009647.0,47311401812.6733,4297.26782454273
TUN,2013,11141361.0,48685446413.953,4369.79345826358
TUN,2014,11274288.0,50271812920.612,4458.97895464547
TUN,2015,11402264.0,45779494041.9295,4014.94773686432
TUN,2016,11528674.0,44360072680.4476,3847.80354448809
TUN,2017,11650498.0,42163530590.9462,3619.03247319953
TUN,2018,11765514.0,42686504459.801,3628.10366464236
TUN,2019,11875081.0,41905642418.825,3528.87213306798
TUN,2020,11974057.0,42491780918.361,3548.65363663803
TUN,2021,12048622.0,47073234359.1819,3906.93926319391
