Year,Country,Gold,Silver,Bronze,Total,Historical_Gold,Historical_Silver,Historical_Bronze,Historical_Total,Recent_3_Olympics_Avg,WB_Code,Population,GDP,GDP_per_capita,HDI,Climate_Zone,Climate_Description,Avg_Temp_C,Winter_Sports_Index,Education_Spending_pct_GDP,Medals_per_million_pop,Medals_per_billion_GDP,Medals_per_10K_GDPpc,Medals_per_HDI,Gold_per_million_pop,Gold_per_billion_GDP,Gold_per_10K_GDPpc,Gold_per_HDI
2010,AUS,2,1,0,3,4,0,3,7,1.6666666666666667,AUS,22031750.0,1152566632022.13,52313.8939041213,0.929,3.0,Temperate,12.0,4.0,,0.13616712244828486,0.002602886389949209,0.5734614222176375,3.229278794402583,0.09077808163218991,0.0017352575932994725,0.38230761481175835,2.1528525296017222
2014,AUS,0,2,1,3,6,1,3,10,2.333333333333333,AUS,23475686.0,1474677007565.64,62817.2061751737,0.937,3.0,Temperate,12.0,4.0,,0.1277917927510191,0.0020343437814578295,0.47757615829556666,3.2017075773745995,0.0,0.0,0.0,0.0
2018,AUS,0,2,1,3,6,3,4,13,2.6666666666666665,AUS,24963258.0,1433144978761.67,57410.1737346009,0.945,3.0,Temperate,12.0,4.0,,0.12017662117661085,0.0020932983364964192,0.5225554644493108,3.174603174603175,0.0,0.0,0.0,0.0
2022,AUS,1,2,1,4,6,5,5,16,3.0,AUS,26018721.0,1695627535475.8,65169.5191118657,0.952,3.0,Temperate,12.0,4.0,5.05916023254395,0.1537354584032013,0.00235900863622009,0.6137838754240097,4.201680672268908,0.038433864600800324,0.0005897521590550225,0.15344596885600242,1.050420168067227
2026,AUS,3,2,1,6,7,7,6,20,3.333333333333333,AUS,,,,,3.0,Temperate,12.0,4.0,,,,,,,,,
1960,AUT,1,2,3,6,11,16,13,40,9.0,AUT,7047539.0,6624086313.14334,939.914814681174,,2.0,Continental,5.0,7.0,,0.8513610212018692,0.9057852987354582,63.83557218464786,,0.14189350353364488,0.15096421645590968,10.639262030774644,
1964,AUT,4,5,3,12,12,18,16,46,8.333333333333334,AUT,7223801.0,9213648655.97511,1275.45715281679,,2.0,Continental,5.0,7.0,,1.6611753286116269,1.3024156279519,94.0839131561459,,0.5537251095372091,0.4341385426506333,31.36130438538197,
1968,AUT,3,4,4,11,16,23,19,58,9.666666666666666,AUT,7415403.0,12499863917.1003,1685.66211669148,,2.0,Continental,5.0,7.0,,1.483398811905435,0.8800095803404365,65.25625682085187,,0.404563312337846,0.24000261282011906,17.79716095114142,
1972,AUT,1,2,2,5,19,27,23,69,9.666666666666666,AUT,7544201.0,21973207929.0434,2912.59577111524,,2.0,Continental,5.0,7.0,4.46764993667603,0.66276070852301,0.2275498423419176,17.1668174814574,,0.132552141704602,0.045509968468383524,3.4333634962914803,
1976,AUT,2,2,2,6,20,29,25,74,9.333333333333334,AUT,7565525.0,42791707448.0325,5656.1451383787,,2.0,Continental,5.0,7.0,5.2582597732544,0.7930712012715575,0.140214082536589,10.607931467826273,,0.26435706709051915,0.04673802751219634,3.5359771559420907,
1980,AUT,3,2,2,7,22,31,27,80,7.333333333333333,AUT,7549433.0,81737498404.5948,10826.9718274995,,2.0,Continental,5.0,7.0,5.02866983413696,0.9272219516353083,0.08564000778872015,6.465335009204192,,0.3973808364151321,0.03670286048088006,2.7708578610875105,
1984,AUT,0,0,1,1,25,33,29,87,6.0,AUT,7561434.0,67719055773.3306,8955.84829191534,,2.0,Continental,5.0,7.0,5.31528997421265,0.13225004675039154,0.014766892251823515,1.1165888114727491,,0.0,0.0,0.0,
1988,AUT,3,5,2,10,25,33,30,88,4.666666666666667,AUT,7585317.0,132817124707.456,17509.7658683817,,2.0,Continental,5.0,7.0,5.21114015579224,1.318336465041606,0.07529149589728037,5.711098637850734,,0.39550093951248183,0.022587448769184115,1.7133295913552202,
1992,AUT,6,7,8,21,28,38,32,98,6.0,AUT,7840709.0,194314032056.098,24782.7118767063,0.841,2.0,Continental,5.0,7.0,5.31781005859375,2.678329217421537,0.10807248338059987,8.473648930946199,24.970273483947683,0.7652369192632963,0.030877852394457103,2.421042551698914,7.134363852556481
1994,AUT,2,3,4,9,34,45,40,119,10.666666666666666,AUT,7936118.0,202738023129.743,25546.2460525087,0.851,2.0,Continental,5.0,7.0,,1.1340557184255577,0.044392264761506595,3.523022514345578,10.575793184488838,0.25201238187234615,0.009864947724779244,0.782893892076795,2.3501762632197414
1998,AUT,3,5,9,17,36,48,44,128,13.333333333333334,AUT,7976789.0,217068085815.918,27212.4642905708,0.87,2.0,Continental,5.0,7.0,6.13724994659424,2.131183362127292,0.07831644129582756,6.247137274477032,19.54022988505747,0.3760911815518751,0.01382054846396957,1.1024359896135938,3.4482758620689657
2002,AUT,3,4,10,17,39,53,53,145,15.666666666666666,AUT,8081957.0,212837224022.813,26334.862215032,0.887,2.0,Continental,5.0,7.0,5.56255006790161,2.103450933975521,0.0798732462239681,6.455321414325214,19.165727170236753,0.371197223642739,0.014095278745406135,1.1391743672338612,3.3821871476888385
