Year,Country,Gold,Silver,Bronze,Total,Total_Athletes,Individual_Medalists,Gold_Medalists,Silver_Medalists,Bronze_Medalists,Total_Medals_Awarded,Gold_Awarded,Silver_Awarded,Bronze_Awarded
2024,EOR,0,0,1,1,37,1,0,0,1,1,0,0,1
2024,ERI,0,0,0,0,11,0,0,0,0,0,0,0,0
2024,ESA,0,0,0,0,8,0,0,0,0,0,0,0,0
2024,ESP,5,4,9,18,388,80,40,7,35,82,40,7,35
2024,EST,0,0,0,0,24,0,0,0,0,0,0,0,0
2024,ETH,1,3,0,4,32,4,1,3,0,4,1,3,0
2024,FIJ,0,1,0,1,36,14,0,14,0,14,0,14,0
2024,FIN,0,0,0,0,56,0,0,0,0,0,0,0,0
2024,FRA,16,26,22,64,582,169,48,94,36,185,52,95,38
2024,FSM,0,0,0,0,3,0,0,0,0,0,0,0,0
2024,GAB,0,0,0,0,5,0,0,0,0,0,0,0,0
2024,GAM,0,0,0,0,7,0,0,0,0,0,0,0,0
2024,GBR,14,22,29,65,330,131,37,40,63,149,37,40,72
2024,GBS,0,0,0,0,6,0,0,0,0,0,0,0,0
2024,GEO,3,3,1,7,28,7,3,3,1,7,3,3,1
2024,GEQ,0,0,0,0,3,0,0,0,0,0,0,0,0
2024,GER,12,13,8,33,435,105,21,50,38,112,24,50,38
2024,GHA,0,0,0,0,7,0,0,0,0,0,0,0,0
2024,GRE,1,1,6,8,100,10,1,1,8,10,1,1,8
2024,GRN,0,0,2,2,6,2,0,0,2,2,0,0,2
2024,GUA,1,0,1,2,16,2,1,0,1,2,1,0,1
2024,GUI,0,0,0,0,28,0,0,0,0,0,0,0,0
2024,GUM,0,0,0,0,8,0,0,0,0,0,0,0,0
2024,GUY,0,0,0,0,5,0,0,0,0,0,0,0,0
2024,HAI,0,0,0,0,7,0,0,0,0,0,0,0,0
2024,HKG,2,0,2,4,34,3,2,0,1,4,2,0,2
2024,HON,0,0,0,0,4,0,0,0,0,0,0,0,0
2024,HUN,6,7,6,19,177,25,9,11,8,31,9,12,10
2024,INA,2,0,1,3,29,3,2,0,1,3,2,0,1
2024,IND,0,1,5,6,109,21,0,1,20,22,0,1,21
2024,IRI,3,6,3,12,41,12,3,6,3,12,3,6,3
2024,IRL,4,0,3,7,136,8,5,0,4,9,5,0,4
2024,IRQ,0,0,0,0,26,0,0,0,0,0,0,0,0
2024,ISL,0,0,0,0,5,0,0,0,0,0,0,0,0
2024,ISR,1,5,1,7,92,11,1,9,1,11,1,9,1
2024,ISV,0,0,0,0,5,0,0,0,0,0,0,0,0
2024,ITA,12,13,15,40,379,80,31,28,27,87,31,29,27
2024,IVB,0,0,0,0,4,0,0,0,0,0,0,0,0
2024,JAM,1,3,2,6,64,6,1,3,2,6,1,3,2
2024,JOR,0,1,0,1,12,1,0,1,0,1,0,1,0
2024,JPN,20,12,13,45,422,70,25,30,24,82,27,31,24
2024,KAZ,1,3,3,7,78,8,1,3,4,8,1,3,4
2024,KEN,4,2,5,11,71,9,3,2,5,11,4,2,5
2024,KGZ,0,2,4,6,16,6,0,2,4,6,0,2,4
2024,KIR,0,0,0,0,3,0,0,0,0,0,0,0,0
2024,KOR,13,9,10,32,144,46,16,14,20,58,21,14,23
2024,KOS,0,1,1,2,9,2,0,1,1,2,0,1,1
2024,KSA,0,0,0,0,8,0,0,0,0,0,0,0,0
2024,KUW,0,0,0,0,9,0,0,0,0,0,0,0,0
2024,LAO,0,0,0,0,4,0,0,0,0,0,0,0,0
2024,LAT,0,0,0,0,29,0,0,0,0,0,0,0,0
2024,LBA,0,0,0,0,6,0,0,0,0,0,0,0,0
2024,LBN,0,0,0,0,9,0,0,0,0,0,0,0,0
2024,LBR,0,0,0,0,7,0,0,0,0,0,0,0,0
2024,LCA,1,1,0,2,4,1,1,1,0,2,1,1,0
2024,LES,0,0,0,0,3,0,0,0,0,0,0,0,0
2024,LIE,0,0,0,0,1,0,0,0,0,0,0,0,0
2024,LTU,0,2,2,4,51,7,0,2,5,7,0,2,5
2024,LUX,0,0,0,0,13,0,0,0,0,0,0,0,0
2024,MAD,0,0,0,0,7,0,0,0,0,0,0,0,0
2024,MAR,1,0,1,2,64,23,1,0,22,23,1,0,22
2024,MAS,0,0,2,2,26,3,0,0,3,3,0,0,3
2024,MAW,0,0,0,0,3,0,0,0,0,0,0,0,0
2024,MDA,0,1,3,4,26,4,0,1,3,4,0,1,3
2024,MDV,0,0,0,0,5,0,0,0,0,0,0,0,0
2024,MEX,0,3,2,5,108,7,0,4,4,8,0,4,4
