WB_Code,Year,Education_Spending_pct_GDP
NOR,1996,7.1380500793457
NOR,1997,7.30343008041382
NOR,1998,7.35759019851685
NOR,1999,6.96222019195557
NOR,2000,6.45934009552002
NOR,2001,6.82015991210938
NOR,2002,7.42246007919312
NOR,2003,7.39933013916016
NOR,2004,7.27744007110596
NOR,2005,6.84082984924316
NOR,2006,6.35822010040283
NOR,2007,6.50671005249023
NOR,2008,6.24915981292725
NOR,2009,7.07067012786865
NOR,2010,6.71042013168335
NOR,2011,6.41490983963013
NOR,2012,7.32766008377075
NOR,2013,7.43906021118164
NOR,2014,7.64403009414673
NOR,2015,7.52334976196289
NOR,2016,7.98444986343384
NOR,2017,7.84598016738892
NOR,2018,7.59563016891479
NOR,2019,7.8645601272583
NOR,2020,8.3728199005127
NOR,2021,6.9602198600769
NOR,2022,5.45586013793945
NPL,1998,2.89287996292114
NPL,1999,2.89331007003784
NPL,2000,2.9751501083374
NPL,2001,3.70837998390198
NPL,2002,3.15283989906311
NPL,2003,3.11435008049011
NPL,2004,3.1719400882721
NPL,2005,3.3646399974823
NPL,2006,3.60536003112793
NPL,2007,3.51721000671387
NPL,2008,3.8051700592041
NPL,2009,4.6637601852417
NPL,2010,3.63172006607056
NPL,2011,3.84261989593506
NPL,2012,3.29736995697021
NPL,2013,3.01811003684998
NPL,2014,3.47213006019592
NPL,2015,3.25902009010315
NPL,2016,3.90320992469788
NPL,2017,4.76722002029419
NPL,2018,4.43445014953613
NPL,2019,3.89212886881753
NPL,2020,4.24355670934502
NPL,2021,4.42801034633091
NPL,2022,4.13645081690396
NPL,2023,3.95641148036706
NZL,1973,4.75323009490967
NZL,1974,4.7467999458313
NZL,1975,5.16753005981445
NZL,1976,5.45474004745483
NZL,1977,4.45267009735107
NZL,1978,4.53252983093262
NZL,1979,4.46765995025635
NZL,1980,4.23264980316162
NZL,1981,4.44054985046387
NZL,1982,4.5327000617981
NZL,1984,4.04568004608154
NZL,1985,3.54629993438721
NZL,1986,3.43031001091003
NZL,1987,3.91739010810852
NZL,1988,4.4258599281311
NZL,1989,4.81824016571045
NZL,1994,5.92605018615723
NZL,1995,5.74212980270386
NZL,1996,6.38371992111206
NZL,1997,6.15721988677979
NZL,1999,6.6362099647522
NZL,2000,5.60442018508911
NZL,2013,5.88855981826782
NZL,2014,5.80853986740112
NZL,2015,5.70734977722168
NZL,2016,5.50559997558594
NZL,2017,5.28000020980835
NZL,2018,5.19308996200562
NZL,2019,5.17797994613647
NZL,2020,5.65149021148682
NZL,2021,5.54822015762329
NZL,2022,5.22557020187378
NZL,2023,5.27568006515503
PAK,1971,1.65421998500824
PAK,1972,1.56881999969482
PAK,1973,1.83042001724243
PAK,1974,1.88065004348755
PAK,1975,1.98008000850677
PAK,1976,2.23794007301331
PAK,1977,2.14983010292053
PAK,1978,2.20418000221252
PAK,1979,2.19807004928589
PAK,1980,2.13094997406006
PAK,1981,1.97245001792908
PAK,1982,2.01366996765137
PAK,1983,1.99576997756958
PAK,1984,2.06984996795654
PAK,1985,2.43543004989624
PAK,1986,2.67812991142273
PAK,1987,2.97745990753174
PAK,1989,2.36382007598877
PAK,1990,2.51680994033814
PAK,1991,2.56676006317139
PAK,1992,2.54967999458313
PAK,1993,2.38644003868103
PAK,1994,2.58930993080139
PAK,1995,2.79531002044678
PAK,1996,2.81057000160217
PAK,1997,3.02230000495911
PAK,1999,2.61149001121521
PAK,2000,1.83782005310059
PAK,2004,1.44337999820709
PAK,2005,1.67058002948761
PAK,2006,1.98055994510651
PAK,2007,2.23465991020203
PAK,2008,2.2726399898529
PAK,2009,2.17916011810303
PAK,2010,2.05268001556396
PAK,2011,2.00100994110107
PAK,2012,1.97879004478455
PAK,2013,2.23698997497559
PAK,2014,2.2043399810791
PAK,2015,2.38609004020691
PAK,2016,2.66804003715515
PAK,2017,2.57616996765137
PAK,2018,2.33216949688293
PAK,2019,2.21492004394531
PAK,2020,2.05718240718423
PAK,2021,1.68746129213991
PAK,2022,1.97300945756988
PAK,2023,1.94658005237579
PAN,1970,4.04328012466431
PAN,1971,3.35391998291016
PAN,1972,3.9828200340271
PAN,1973,3.48574995994568
PAN,1974,3.81979990005493
PAN,1975,4.15451002120972
PAN,1976,4.31272983551025
PAN,1977,4.28096008300781
PAN,1978,3.60597991943359
PAN,1979,3.64254999160767
PAN,1980,3.53567004203796
PAN,1981,3.43179988861084
PAN,1982,3.41850996017456
PAN,1983,3.55090999603271
PAN,1984,3.46870994567871
PAN,1985,3.52146005630493
PAN,1986,3.34574007987976
PAN,1987,3.87012004852295
PAN,1994,3.47054004669189
PAN,1995,3.94780993461609
PAN,1996,4.39390993118286
PAN,1997,4.08364009857178
PAN,1999,4.75114011764526
PAN,2000,4.89397001266479
PAN,2001,4.18935012817383
PAN,2002,4.2549901008606
PAN,2003,4.19644021987915
PAN,2004,3.55807995796204
PAN,2008,3.42529010772705
PAN,2011,3.07034993171692
PAN,2014,3.08107995986939
PAN,2015,3.26552009582519
PAN,2016,3.32278990745544
PAN,2017,3.37834000587463
PAN,2018,3.4524199962616
PAN,2019,3.28122011579173
PAN,2020,4.30487012863159
